,token,lemma,basic_pos_tag,advanced_pos_tag,gender,singularity,person,derivation
3158,से,से,psp,PSP,-,-,-,-
3159,भी,भी,avy,RP,-,-,-,-
3160,समझ,समझ,v,VM,any,sg,2h,0_ले+ता
3161,लेते,ले,v,VAUX,m,sg,2h,ता
3162,।,।,punc,SYM,-,-,-,-
3163,।,।,punc,SYM,-,-,-,-
3164,रतन,रतन,n,NNP,m,sg,3,0
3165,-,-,punc,SYM,-,-,-,-
3166,भईया,भईया,n,NN,m,sg,3,0
3167,हमारी,हम,pn,PRP,f,pl,1,का
3168,बात,बात,n,NN,f,sg,3,0_को
3169,को,को,psp,PSP,-,-,-,-
3170,काटेगा,काट,v,VM,m,sg,3,गा
3171,क्या,क्या,pn,WQ,-,-,-,-
3172,?,?,punc,SYM,-,-,-,-
3173,?,?,punc,SYM,-,-,-,-
3174,रजोदेवी,रजोदेवी,n,NNP,f,sg,3,0
3175,-,-,punc,SYM,-,-,-,-
3176,काटेगें,काट,v,VM,m,sg,3h,गा
3177,तो,तो,avy,RP,-,-,-,-
3178,नहीं,नहीं,avy,NEG,-,-,-,-
3179,पर,पर,avy,CC,-,-,-,-
3180,अपनी,अपना,pn,PRP,f,any,any,0
3181,आँख,आँख,n,NN,f,sg,3,0_से
3182,से,से,psp,PSP,-,-,-,-
3183,देख,देख,v,VM,any,sg,2h,0_ले+ता
3184,लेते,ले,v,VAUX,m,sg,2h,ता
3185,तो,तो,avy,CC,-,-,-,-
3186,बात,बात,n,NN,f,sg,3,0
3187,कुछ,कुछ,avy,QF,-,-,-,-
3188,और,और,adj,JJ,any,any,-,-
3189,होती,हो,v,VM,f,sg,any,ता
3190,।,।,punc,SYM,-,-,-,-
3191,।,।,punc,SYM,-,-,-,-
3192,रतन,रतन,n,NNP,m,sg,3,0
3193,-,-,punc,SYM,-,-,-,-
3194,मैं,मैं,pn,PRP,any,sg,1,0
3195,तो,तो,avy,RP,-,-,-,-
3196,जबान,जबान,n,NN,f,sg,3,0
3197,दे,दे,v,VM,m,sg,1,0_आ+या_है
3198,आया,आ,v,VAUX,m,sg,any,या
3199,हूँ,है,v,VAUX,any,sg,1,है
3200,पर,पर,avy,CC,-,-,-,-
3201,तू,तू,pn,PRP,any,sg,2,0
3202,कह,कह,v,VM,f,sg,any,0_रह+या_है
3203,रही,रह,v,VAUX,f,sg,any,या
3204,है,है,v,VAUX,any,sg,any,है
3205,तो,तो,avy,CC,-,-,-,-
3206,यह,यह,pn,PRP,any,sg,3,0
3207,भी,भी,avy,RP,-,-,-,-
3208,कर,कर,v,VM,any,sg,1,0_ले+गा
3209,लूँगा,ले,v,VAUX,m,sg,1,गा
3210,।,।,punc,SYM,-,-,-,-
3211,।,।,punc,SYM,-,-,-,-
3212,रजोदेवी,रजोदेवी,n,NNP,f,sg,3,0
3213,-,-,punc,SYM,-,-,-,-
3214,इस,यह,pn,DEM,any,sg,3,-
3215,बार,बार,n,NN,f,sg,3,0
3216,बड़े,बडा,adj,JJ,m,sg,-,-
3217,भाई,भाई,n,NNC,m,sg,3,0
3218,साहब,साहब,n,NN,m,sg,3,0_के_साथ
3219,के,के,psp,PSP,-,-,-,-
3220,साथ,साथ,nst,NST,m,sg,3,-
3221,बस्ती,बस्ती,n,NN,f,sg,3,0_का
3222,के,का,psp,PSP,m,pl,-,-
3223,एक,एक,num,QC,any,any,-,-
3224,दो,दो,num,QC,any,any,-,-
3225,और,और,avy,QF,-,-,-,-
3226,अनुभवी,अनुभवी,adj,JJ,any,any,-,-
3227,लोगों,लोग,n,NN,m,pl,3,0_को
3228,को,को,psp,PSP,-,-,-,-
3229,ले,ले,v,VM,any,any,any,0_जा+कर
3230,जाकर,जा,v,VAUX,any,any,any,कर
3231,घर,घर,n,NNC,m,sg,3,0
3232,-,-,punc,SYM,-,-,-,-
3233,वर,वर,n,NN,m,sg,3,0
3234,दिखा,दिखा,v,VM,m,any,any,या_दे+ना
3235,देना,दे,v,VAUX,any,any,any,ना
3236,।,।,punc,SYM,-,-,-,-
3237,।,।,punc,SYM,-,-,-,-
3238,करना,कर,v,VM,any,any,any,ना
3239,अपने,अपना,pn,PRP,m,any,any,0
3240,मन,मन,n,NN,m,sg,3,0_का
3241,की,का,psp,PSP,f,sg,-,-
3242,की,का,psp,PSP,f,sg,-,-
3243,पर,पर,avy,CC,-,-,-,-
3244,राय,राय,n,NN,f,sg,3,0
3245,तो,तो,avy,RP,-,-,-,-
3246,ले,ले,v,VM,any,any,any,0_ले+ना
3247,लेना,ले,v,VAUX,any,any,any,ना
3248,।,।,punc,SYM,-,-,-,-
3249,।,।,punc,SYM,-,-,-,-
3250,रतन,रतन,n,NNP,m,sg,3,0
3251,-,-,punc,SYM,-,-,-,-
3252,क्यों,क्यों,pn,WQ,-,-,-,-
3253,खरचा,खरचा,n,NN,m,sg,3,0
3254,करवाने,करा,v,VM,any,sg,any,ना_का
3255,की,का,psp,PSP,f,sg,-,-
3256,बात,बात,n,NN,f,sg,3,0
3257,करती,कर,v,VM,f,sg,2,ता_है+ओ
3258,हो,है,v,VAUX,any,sg,2,ओ
3259,?,?,punc,SYM,-,-,-,-
3260,?,?,punc,SYM,-,-,-,-
3261,दो,दो,num,QC,any,any,-,-
3262,-,-,punc,SYM,-,-,-,-
3263,चार,चार,num,QC,any,any,-,-
3264,लोगों,लोग,n,NN,m,pl,3,0_को
3265,को,को,psp,PSP,-,-,-,-
3266,लेकर,ले,v,VM,any,any,any,कर
3267,जाऊँगा,जा,v,VM,m,sg,1,गा
3268,तो,तो,avy,CC,-,-,-,-
3269,इसमें,यह,pn,PRP,any,sg,3,में
3270,खर्चा,खर्चा,n,NN,m,sg,3,0
3271,तो,तो,avy,RP,-,-,-,-
3272,होगा,हो,v,VM,m,sg,3,गा
3273,कि,कि,avy,CC,-,-,-,-
3274,नहीं,नहीं,avy,NEG,-,-,-,-
3275,नहीं,नहीं,avy,NEG,-,-,-,-
3276,पर,पर,avy,CC,-,-,-,-
3277,तुम्हारी,तुम,pn,PRP,f,sg,2,का
3278,बात,बात,n,NN,f,sg,3,0_को
3279,को,को,psp,PSP,-,-,-,-
3280,भी,भी,avy,RP,-,-,-,-
3281,मानना,मान,v,VM,m,sg,any,ना_पड+गा
3282,पड़ेगा,पड,v,VAUX,m,sg,any,गा
3283,।,।,punc,SYM,-,-,-,-
3284,।,।,punc,SYM,-,-,-,-
3285,रजोदेवी,रजोदेवी,n,NNP,f,sg,3,0
3286,-,-,punc,SYM,-,-,-,-
3287,काश,काश,avy,INJ,-,-,-,-
3288,हमारी,हम,pn,PRP,f,pl,1,का
3289,बात,बात,n,NN,f,sg,3,0
3290,गउरमिण्ट,गउरमिण्ट,n,NN,f,sg,3,0
3291,मान,मान,v,VM,any,sg,3,0_ले+ता
3292,लेती,ले,v,VAUX,f,sg,3,ता
3293,।,।,punc,SYM,-,-,-,-
3294,।,।,punc,SYM,-,-,-,-
3295,रतन,रतन,n,NNP,m,sg,3,0
3296,-,-,punc,SYM,-,-,-,-
3297,कौन,कौन,pn,WQ,any,sg,3,-
3298,सी,सा,avy,RP,f,sg,-,-
3299,बात,बात,n,NN,f,sg,3,0
3300,?,?,punc,SYM,-,-,-,-
3301,?,?,punc,SYM,-,-,-,-
3302,यहाँ,यहाँ,pn,PRP,-,-,-,-
3303,तो,तो,avy,RP,-,-,-,-
3304,गउरमिण्ट,गउरमिण्ट,n,NN,f,sg,3,0
3305,वादे,वादा,n,NN,m,sg,3,0_पर
3306,पर,पर,psp,PSP,-,-,-,-
3307,चलती,चल,v,VM,f,sg,3,ता_है
3308,है,है,v,VAUX,any,sg,3,है
3309,।,।,punc,SYM,-,-,-,-
3310,।,।,punc,SYM,-,-,-,-
3311,वोट,वोट,n,NN,m,sg,3,0
3312,लेते,ले,v,VM,m,sg,any,ता
3313,ही,ही,avy,RP,-,-,-,-
3314,मुक़र,मुकर,v,VM,m,pl,3,0_जा+ता_है
3315,जाते,जा,v,VAUX,m,pl,3,ता
3316,हैं,है,v,VAUX,any,pl,3,है
3317,हैं,है,v,VAUX,any,pl,3,है
3318,सब,सब,pn,PRP,any,pl,any,0
3319,अपनी,अपना,pn,PRP,f,any,any,0
3320,-,-,punc,SYM,-,-,-,-
3321,अपनी,अपना,pn,RDP,f,any,any,0
3322,रोटी,रोटी,n,NN,f,sg,3,0
3323,सेंकने,सेंक,v,VM,m,pl,3,ना_लग+ता_है
3324,लगते,लग,v,VAUX,m,pl,any,ता
3325,हैं,है,v,VAUX,any,pl,3,है
3326,।,।,punc,SYM,-,-,-,-
3327,।,।,punc,SYM,-,-,-,-
3328,खैर,खैर,avy,INJ,-,-,-,-
3329,तुम,तुम,pn,PRP,any,sg,2,0
3330,अपनी,अपना,pn,PRP,f,any,any,0
3331,बात,बात,n,NN,f,sg,3,0
3332,तो,तो,avy,RP,-,-,-,-
3333,बता,बता,v,VM,any,sg,2,0_दो
3334,दो,दो,v,VAUX,any,sg,2,0
3335,।,।,punc,SYM,-,-,-,-
3336,।,।,punc,SYM,-,-,-,-
3337,रजोदेवी,रजोदेवी,n,NNP,f,sg,3,0
3338,-,-,punc,SYM,-,-,-,-
3339,जन्म,जन्म,n,NNC,m,sg,3,0
3340,-,-,punc,SYM,-,-,-,-
3341,मरण,मरण,n,NNC,m,sg,3,0
3342,विभाग,विभाग,n,NN,m,sg,3,0_का_तरह
3343,की,का,psp,PSP,f,-,-,-
3344,तरह,तरह,n,PSP,f,-,-,-
3345,विवाह,विवाह,n,NNC,m,sg,3,0
3346,विभाग,विभाग,n,NN,m,sg,3,0
3347,बना,बन,v,VM,m,any,any,या_दे+एं
3348,दे,दे,v,VAUX,any,any,any,एं
3349,।,।,punc,SYM,-,-,-,-
3350,।,।,punc,SYM,-,-,-,-
3351,जहाँ,जहाँ,pn,PRP,-,-,-,-
3352,लड़की,लडकी,n,NNC,f,sg,3,0
3353,-,-,punc,SYM,-,-,-,-
3354,लड़के,लडका,n,NN,m,sg,3,0_का
3355,के,का,psp,PSP,m,pl,-,-
3356,माँ,माँ,n,NNC,f,sg,3,0
3357,बाप,बाप,n,NN,m,sg,3,0
3358,शादी,शादी,n,NN,f,sg,3,0
3359,योग्य,योग्य,adj,JJ,any,any,-,-
3360,बच्चों,बच्चा,n,NN,m,pl,3,0_का
3361,के,का,psp,PSP,m,pl,-,-
3362,नाम,नाम,n,NN,m,pl,3,0
3363,लिखा,लिखा,v,VM,any,pl,any,0_दे+ता
3364,देते,दे,v,VAUX,m,pl,any,ता
3365,।,।,punc,SYM,-,-,-,-
3366,।,।,punc,SYM,-,-,-,-
3367,उम्र,उम्र,n,NN,f,sg,3,0
3368,और,और,avy,CC,-,-,-,-
3369,योग्यता,योग्यता,n,NN,f,sg,3,0_के_अनुसार
3370,के,के,psp,PSP,-,-,-,-
3371,अनुसार,अनुसार,psp,PSP,-,-,-,-
3372,गउरमिण्ट,गउरमिण्ट,n,NN,f,sg,3,0
3373,सूचना,सूचना,n,NN,f,sg,3,0
3374,दे,दे,v,VM,any,sg,any,0_दे+ता
3375,देती,दे,v,VAUX,f,sg,any,ता
3376,",",COMMA,punc,SYM,-,-,-,-
3377,",",COMMA,punc,SYM,-,-,-,-
3378,माँ,माँ,n,NNC,f,sg,3,0
3379,-,-,punc,SYM,-,-,-,-
3380,बाप,बाप,n,NN,m,sg,3,0_का
3381,की,का,psp,PSP,f,sg,-,-
3382,स्वीकृति,स्वीकृति,n,NN,f,sg,3,0
3383,और,और,avy,CC,-,-,-,-
3384,लड़की,लडकी,n,NNC,f,sg,3,0
3385,-,-,punc,SYM,-,-,-,-
3386,लडके,लडका,n,NN,m,sg,3,0_का
3387,की,का,psp,PSP,f,sg,-,-
3388,पसन्द,पसन्द,n,NN,f,sg,3,0_के_अनुसार
3389,के,के,psp,PSP,-,-,-,-
3390,अनुसार,अनुसार,psp,PSP,-,-,-,-
3391,ब्याह,ब्याह,n,NN,m,sg,3,0_का
3392,का,का,psp,PSP,m,sg,-,-
3393,प्रमाण,प्रमाण,n,NNC,m,sg,3,0
3394,पत्र,पत्र,n,NN,m,sg,3,0
3395,जारी,जारी,adj,JJ,any,any,-,-
3396,हो,हो,v,VM,any,sg,any,0_जा+ता
3397,जाता,जा,v,VAUX,m,sg,any,ता
3398,तो,तो,avy,CC,-,-,-,-
3399,इतनी,इतना,adj,QF,f,sg,-,-
3400,परेशानी,परेशानी,n,NN,f,sg,3,0
3401,नहीं,नहीं,avy,NEG,-,-,-,-
3402,होती,हो,v,VM,f,sg,any,ता
3403,।,।,punc,SYM,-,-,-,-
3404,।,।,punc,SYM,-,-,-,-
3405,रतन,रतन,n,NNP,m,sg,3,0
3406,-,-,punc,SYM,-,-,-,-
3407,काश,काश,avy,INJ,-,-,-,-
3408,ऐसा,ऐसा,pn,PRP,m,sg,any,0
3409,हो,हो,v,VM,any,sg,any,0_जा+ता
3410,जाता,जा,v,VAUX,m,sg,any,ता
3411,पर,पर,avy,CC,-,-,-,-
3412,अभी,अभी,pn,PRP,-,-,-,-
3413,तो,तो,avy,RP,-,-,-,-
3414,ऐसा,ऐसा,pn,PRP,m,sg,3,0
3415,कोई,कोई,pn,PRP,any,sg,3,0
3416,कानून,कानून,n,NN,m,sg,3,0
3417,नहीं,नहीं,avy,NEG,-,-,-,-
3418,है,है,v,VM,any,sg,3,है
3419,।,।,punc,SYM,-,-,-,-
3420,।,।,punc,SYM,-,-,-,-
3421,भविष्य,भविष्य,n,NN,m,sg,3,0_में
3422,में,में,psp,PSP,-,-,-,-
3423,बने,बन,v,VM,any,sg,3,एं
3424,बने,बन,v,VM,any,sg,3,एं
3425,यह,यह,pn,PRP,any,sg,3,0
3426,तो,तो,avy,RP,-,-,-,-
3427,गउरमिण्ट,गउरमिण्ट,n,NN,f,sg,3,0
3428,जाने,जान,v,VM,m,sg,3,एं
3429,।,।,punc,SYM,-,-,-,-
3430,।,।,punc,SYM,-,-,-,-
3431,रही,रह,v,VM,f,sg,any,या
3432,बात,बात,n,NN,f,sg,3,0
3433,रजनी,रजनी,n,NNP,f,sg,3,0_का
3434,के,का,psp,PSP,m,sg,-,-
3435,ब्याह,ब्याह,n,NN,m,sg,3,0_का
3436,की,का,psp,PSP,f,sg,-,-
3437,तो,तो,avy,CC,-,-,-,-
3438,वह,वह,pn,PRP,any,sg,3,0
3439,तो,तो,avy,RP,-,-,-,-
3440,हमें,हम,pn,PRP,any,pl,1,को
3441,ही,ही,avy,RP,-,-,-,-
3442,करना,कर,v,VM,m,sg,3,ना_है
3443,है,है,v,VAUX,any,sg,3,है
3444,।,।,punc,SYM,-,-,-,-
3445,।,।,punc,SYM,-,-,-,-
3446,रजोदेवी,रजोदेवी,n,NNP,f,sg,3,0
3447,-,-,punc,SYM,-,-,-,-
3448,रजनी,रजनी,n,NNP,f,sg,3,0_का
3449,के,का,psp,PSP,m,sg,3h,-
3450,बाबू,बाबू,n,NN,m,sg,3,0
3451,तुम,तुम,pn,PRP,any,sg,2,0
3452,थक,थक,v,VM,m,sg,2,0_जा+या1_है+ओ
3453,गये,जा,v,VAUX,m,sg,2,या1
3454,हो,है,v,VAUX,any,sg,2,ओ
3455,हो,है,v,VAUX,any,sg,2,ओ
3456,आराम,आराम,n,NN,m,sg,3,0
3457,करो,कर,v,VM,any,sg,2,ओ
3458,।,।,punc,SYM,-,-,-,-
3459,।,।,punc,SYM,-,-,-,-
3460,श्रीधर,श्रीधर,n,NNP,m,sg,3,0
3461,भी,भी,avy,RP,-,-,-,-
3462,आ,आ,v,VM,any,sg,any,0_जा+या1
3463,गया,जा,v,VAUX,m,sg,any,या1
3464,गया,जा,v,VAUX,m,sg,any,या1
3465,उसको,वह,pn,PRP,any,sg,3,को
3466,भी,भी,avy,RP,-,-,-,-
3467,रोटी,रोटी,n,NN,f,sg,3,0
3468,दे,दे,v,VM,any,sg,1,0_दे+ऊँ
3469,दूँ,दे,v,VAUX,any,sg,1,ऊँ
3470,।,।,punc,SYM,-,-,-,-
3471,।,।,punc,SYM,-,-,-,-
3472,जब,जब,pn,PRP,-,-,-,0_तक
3473,तक,तक,psp,PSP,-,-,-,-
3474,बिटिया,बिटिया,n,NN,f,sg,3,0_का
3475,का,का,psp,PSP,m,sg,-,-
3476,ब्याह,ब्याह,n,NN,m,sg,3,0
3477,नहीं,नहीं,avy,NEG,-,-,-,-
3478,होगा,हो,v,VM,m,sg,3,गा
3479,तब,तब,pn,PRP,-,-,-,0_तक
3480,तक,तक,psp,PSP,-,-,-,-
3481,चैन,चैन,n,NN,m,sg,3,0
3482,नहीं,नहीं,avy,NEG,-,-,-,-
3483,मिलेगा,मिल,v,VM,m,sg,3,गा
3484,।,।,punc,SYM,-,-,-,-
3485,।,।,punc,SYM,-,-,-,-
3486,रतन,रतन,n,NNP,m,sg,3,0
3487,-,-,punc,SYM,-,-,-,-
3488,हाँ,हाँ,avy,INJ,-,-,-,-
3489,ये,यह,pn,PRP,any,sg,3,0
3490,तो,तो,avy,RP,-,-,-,-
3491,है,है,v,VM,any,sg,3,है
3492,है,है,v,VM,any,sg,3,है
3493,बेटी,बेटी,n,NN,f,sg,3,0_का
3494,के,का,psp,PSP,m,pl,-,-
3495,माँ,माँ,n,NNC,f,sg,3,0
3496,बाप,बाप,n,NN,m,sg,3,0
3497,जो,जो,avy,RP,-,-,-,-
3498,हैं,है,v,VM,any,pl,3,है
3499,।,।,punc,SYM,-,-,-,-
3500,।,।,punc,SYM,-,-,-,-
3501,रजोदेवी,रजोदेवी,n,NNP,f,sg,3,0
3502,-,-,punc,SYM,-,-,-,-
3503,दोनों,दो,num,QC,any,pl,-,-
3504,बेटों,बेटा,n,NN,m,pl,3,0
3505,",",COMMA,punc,SYM,-,-,-,-
3506,",",COMMA,punc,SYM,-,-,-,-
3507,श्रीधर,श्रीधर,n,NNP,m,sg,3,0
3508,",",COMMA,punc,SYM,-,-,-,-
3509,",",COMMA,punc,SYM,-,-,-,-
3510,रामधर,रामधर,n,NNP,m,sg,3,0
3511,",",COMMA,punc,SYM,-,-,-,-
3512,चारों,चार,num,QC,any,pl,-,-
3513,बेटियों,बेटी,n,NN,f,pl,3,0
3514,रजनी,रजनी,n,NNP,f,sg,3,0
3515,",",COMMA,punc,SYM,-,-,-,-
3516,चिन्ता,चिन्ता,n,NNP,f,sg,3,0
3517,",",COMMA,punc,SYM,-,-,-,-
3518,मिन्ता,मिन्ता,n,NNP,f,sg,3,0
3519,और,और,avy,CC,-,-,-,-
3520,सुगन्दा,सुगन्दा,n,NNP,f,sg,3,0
3521,रोटी,रोटी,n,NN,f,sg,3,0
3522,परोस,परोस,v,VM,any,any,any,0_कर
3523,कर,कर,v,VAUX,any,any,any,0
3524,खुद,खुद,pn,PRP,-,-,-,-
3525,खाना,खाना,n,NN,m,sg,3,0
3526,खायीं,खा,v,VM,f,sg,3,या
3527,खायीं,खा,v,VM,f,sg,3,या
3528,रतन,रतन,n,NNP,m,sg,3,0
3529,तो,तो,avy,RP,-,-,-,-
3530,सबसे,सबसे,adj,JJ,any,any,-,-
3531,पहले,पहले,nst,NST,m,sg,3,-
3532,खा,खा,v,VM,m,sg,any,0_ले+या_था
3533,लिया,ले,v,VAUX,m,sg,any,या
3534,था,था,v,VAUX,m,sg,any,था
3535,।,।,punc,SYM,-,-,-,-
3536,।,।,punc,SYM,-,-,-,-
3537,खाना,खाना,n,NN,m,sg,3,0
3538,खाने,खा,v,VM,any,sg,3,ना_के_बाद
3539,के,के,psp,PSP,-,-,-,-
3540,बाद,बाद,nst,NST,m,sg,3,-
3541,रजोदेवी,रजोदेवी,n,NNP,f,sg,3,0
3542,चूल्हा,चूल्हा,n,NNC,m,sg,3,0
3543,-,-,punc,SYM,-,-,-,-
3544,बर्तन,बर्तन,n,NN,m,sg,3,0_का
3545,का,का,psp,PSP,m,sg,-,-
3546,काम,काम,n,NN,m,sg,3,0
3547,निपटा,निपट,v,VM,any,any,any,या_कर
3548,कर,कर,v,VAUX,any,any,any,0
3549,सोने,सो,v,VM,any,any,any,ना
3550,गयी,जा,v,VM,f,sg,any,या1
3551,।,।,punc,SYM,-,-,-,-
3552,।,।,punc,SYM,-,-,-,-
3553,काफी,काफी,avy,QF,-,-,-,-
3554,करवटें,करवट,n,NN,f,pl,3,0
3555,बदलने,बदल,v,VM,any,sg,3,ना_के_बाद
3556,के,के,psp,PSP,-,-,-,-
3557,बाद,बाद,nst,NST,m,sg,3,-
3558,नींद,नींद,n,NN,f,sg,3,0_ने
3559,ने,ने,psp,PSP,-,-,-,-
3560,दस्तक,दस्तक,n,NN,f,sg,3,0
3561,तो,तो,avy,RP,-,-,-,-
3562,दी,दे,v,VM,f,sg,any,या
3563,पर,पर,avy,CC,-,-,-,-
3564,कुछ,कुछ,avy,QF,-,-,-,-
3565,ही,ही,avy,RP,-,-,-,-
3566,देर,देर,n,NN,f,sg,3,0_में
3567,में,में,psp,PSP,-,-,-,-
3568,वह,वह,pn,PRP,any,sg,3,0
3569,चिल्ला,चिल्ला,v,VM,any,any,any,0_कर
3570,कर,कर,v,VAUX,any,any,any,0
3571,बिस्तर,बिस्तर,n,NN,m,sg,3,0_से
3572,से,से,psp,PSP,-,-,-,-
3573,उठी,उठ,v,VM,f,sg,any,या
3574,और,और,avy,CC,-,-,-,-
3575,रजनी,रजनी,n,NNP,f,sg,3,0_का_तरफ
3576,की,का,psp,PSP,f,sg,-,-
3577,तरफ,तरफ,nst,NST,f,sg,3,-
3578,दौड़ी,दौड,v,VM,f,sg,any,या
3579,।,।,punc,SYM,-,-,-,-
3580,।,।,punc,SYM,-,-,-,-
3581,सोई,सो,v,VM,f,sg,any,या_हो+या
3582,हुई,हो,v,VAUX,f,sg,any,या
3583,रजनी,रजनी,n,NNP,f,sg,3,0_को
3584,को,को,psp,PSP,-,-,-,-
3585,गले,गला,n,NN,m,sg,3,0
3586,लगाकर,लगा,v,VM,any,any,any,कर
3587,रोने,रो,v,VM,any,sg,any,ना_लग+या
3588,लगी,लग,v,VAUX,f,sg,any,या
3589,।,।,punc,SYM,-,-,-,-
3590,।,।,punc,SYM,-,-,-,-
3591,आहट,आहट,n,NN,f,sg,3,0
3592,पाकर,पा,v,VM,any,any,any,कर
3593,रतन,रतन,n,NNP,m,sg,3,0
3594,भी,भी,avy,RP,-,-,-,-
3595,आ,आ,v,VM,any,sg,any,0_जा+या1
3596,गया,जा,v,VAUX,m,sg,any,या1
3597,।,।,punc,SYM,-,-,-,-
3598,।,।,punc,SYM,-,-,-,-
3599,हाल,हाल,n,NN,m,sg,3,0
3600,देखकर,देख,v,VM,any,any,any,कर
3601,हक्का,हक्का,adj,JJC,m,sg,-,-
3602,-,-,punc,SYM,-,-,-,-
3603,बक्का,बक्का,adj,JJ,m,sg,-,-
3604,रह,रह,v,VM,any,sg,any,0_जा+या1
3605,गया,जा,v,VAUX,m,sg,any,या1
3606,।,।,punc,SYM,-,-,-,-
3607,।,।,punc,SYM,-,-,-,-
3608,हिम्मत,हिम्मत,n,NN,f,sg,3,0
3609,करके,कर,v,VM,any,any,any,कर
3610,वह,वह,pn,PRP,any,sg,3,0
3611,बोला,बोल,v,VM,m,sg,any,या
3612,श्रीधर,श्रीधर,n,NNP,m,sg,3,0_का
3613,की,का,psp,PSP,f,sg,-,-
3614,माँ,माँ,n,NN,f,sg,3,0
3615,क्या,क्या,pn,WQ,-,-,-,-
3616,हो,हो,v,VM,any,sg,any,0_जा+या1
3617,गया,जा,v,VAUX,m,sg,any,या1
3618,गया,जा,v,VAUX,m,sg,any,या1
3619,रजनी,रजनी,n,NNP,f,sg,3,0_को
3620,को,को,psp,PSP,-,-,-,-
3621,लेकर,ले,v,VM,any,any,any,कर
3622,रो,रो,v,VM,any,any,any,0
3623,क्यों,क्यों,pn,WQ,-,-,-,-
3624,रही,रह,v,VAUX,f,sg,any,या
3625,हो,है,v,VAUX,any,sg,2,ओ
3626,?,?,punc,SYM,-,-,-,-
3627,?,?,punc,SYM,-,-,-,-
3628,रजोदेवी,रजोदेवी,n,NNP,f,sg,3,0
3629,-,-,punc,SYM,-,-,-,-
3630,बहुत,बहुत,avy,QF,-,-,-,-
3631,बुरा,बुरा,adj,JJ,m,sg,-,-
3632,सपना,सपना,n,NN,m,sg,3,0
3633,देखी,देख,v,VM,f,sg,1,या_है+ऊँ
3634,हूँ,है,v,VAUX,any,sg,1,ऊँ
3635,।,।,punc,SYM,-,-,-,-
3636,।,।,punc,SYM,-,-,-,-
3637,रतन,रतन,n,NNP,m,sg,3,0
3638,-,-,punc,SYM,-,-,-,-
3639,सपना,सपना,n,NN,m,sg,3,0
3640,और,और,avy,CC,-,-,-,-
3641,हकीक़त,हकीकत,n,NN,f,sg,3,0_में
3642,में,में,psp,PSP,-,-,-,-
3643,अन्तर,अंतर,n,NN,m,sg,3,0
3644,होता,हो,v,VM,m,sg,3,ता_है
3645,है,है,v,VAUX,any,sg,3,है
3646,।,।,punc,SYM,-,-,-,-
3647,।,।,punc,SYM,-,-,-,-
3648,सपना,सपना,n,NN,m,sg,3,0
3649,देखकर,देख,v,VM,any,any,any,कर
3650,इस,यह,pn,DEM,any,sg,3,-
3651,तरह,तरह,n,NN,f,sg,3,0_से
3652,से,से,psp,PSP,-,-,-,-
3653,विलाप,विलाप,n,NN,m,sg,3,0
3654,कर,कर,v,VM,f,sg,2,0_रह+या_है+ओ
3655,रही,रह,v,VAUX,f,sg,any,या
3656,हो,है,v,VAUX,any,sg,2,ओ
3657,।,।,punc,SYM,-,-,-,-
3658,।,।,punc,SYM,-,-,-,-
3659,क्या,क्या,pn,WQ,-,-,-,-
3660,देखा,देख,v,VM,m,sg,any,या
3661,तुमने,तुम,pn,PRP,any,sg,2,ने
3662,सपने,सपना,n,NN,m,sg,3,0_में
3663,में,में,psp,PSP,-,-,-,-
3664,कि,कि,avy,CC,-,-,-,-
3665,बिटिया,बिटिया,n,NN,f,sg,3,0_को
3666,को,को,psp,PSP,-,-,-,-
3667,छाती,छाती,n,NN,f,sg,3,0_से
3668,से,से,psp,PSP,-,-,-,-
3669,लगाकर,लगा,v,VM,any,any,any,कर
3670,रो,रो,v,VM,f,sg,2,0_रह+या_है+ओ
3671,रही,रह,v,VAUX,f,sg,any,या
3672,हो,है,v,VAUX,any,sg,2,ओ
3673,आधी,आधा,adj,QF,f,sg,-,-
3674,रात,रात,n,NN,f,sg,3,0_में
3675,में,में,psp,PSP,-,-,-,-
3676,।,।,punc,SYM,-,-,-,-
3677,।,।,punc,SYM,-,-,-,-
3678,रजोदेवी,रजोदेवी,n,NNP,f,sg,3,0
3679,-,-,punc,SYM,-,-,-,-
3680,मैं,मैं,pn,PRP,any,sg,1,0
3681,सपने,सपना,n,NN,m,sg,3,0_में
3682,में,में,psp,PSP,-,-,-,-
3683,देखी,देख,v,VM,f,sg,any,या
3684,कि,कि,avy,CC,-,-,-,-
3685,रजो,रजो,n,NNP,f,sg,3,0_का
3686,का,का,psp,PSP,m,sg,-,-
3687,ब्याह,ब्याह,n,NN,m,sg,3,0
3688,हो,हो,v,VM,any,sg,any,0_जा+या1
3689,गया,जा,v,VAUX,m,sg,any,या1
3690,।,।,punc,SYM,-,-,-,-
3691,।,।,punc,SYM,-,-,-,-
3692,रतन,रतन,n,NNP,m,sg,3,0
3693,-,-,punc,SYM,-,-,-,-
3694,इसमें,यह,pn,PRP,any,sg,3,में
3695,रोने,रो,v,VM,any,sg,any,ना_का
3696,की,का,psp,PSP,f,sg,-,-
3697,कौन,कौन,pn,WQ,-,-,-,-
3698,सी,सा,avy,RP,f,sg,-,-
3699,बात,बात,n,NN,f,sg,3,0
3700,है,है,v,VM,any,sg,3,है
3701,",",COMMA,punc,SYM,-,-,-,-
3702,",",COMMA,punc,SYM,-,-,-,-
